"DateTime";"Nedbør"
"2020-06-01 00:00:00";0
"2020-06-02 00:00:00";0
"2020-06-03 00:00:00";1.4
"2020-06-04 00:00:00";13.3
"2020-06-05 00:00:00";8.2
"2020-06-06 00:00:00";6.2
"2020-06-07 00:00:00";3
"2020-06-08 00:00:00";0
"2020-06-09 00:00:00";0
"2020-06-10 00:00:00";0
"2020-06-11 00:00:00";1
"2020-06-12 00:00:00";1
"2020-06-13 00:00:00";2.7
"2020-06-14 00:00:00";0
"2020-06-15 00:00:00";0
"2020-06-16 00:00:00";0
"2020-06-17 00:00:00";0.2
"2020-06-18 00:00:00";0.3
"2020-06-19 00:00:00";10.6
"2020-06-20 00:00:00";3.7
"2020-06-21 00:00:00";0.2
"2020-06-22 00:00:00";5
"2020-06-23 00:00:00";0
"2020-06-24 00:00:00";0
"2020-06-25 00:00:00";0
"2020-06-26 00:00:00";0
"2020-06-27 00:00:00";1.6
"2020-06-28 00:00:00";1.4
"2020-06-29 00:00:00";4.2
"2020-06-30 00:00:00";8.5
